"Indirizzo","Codice di stato","Stato","html 1","text 1"
"https://lookeronline.com/products/david-beckham-1111-s-wr7-o7","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
  
    
      <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> David Beckham 1111/S WR7/O7 </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
  
    
      David Beckham Sunglasses
    
     >  
  
  
   David Beckham 1111/S WR7/O7 
"
"https://lookeronline.com/products/polaroid-pld-2100-s-x-r80-pld-2100-s-x-semimatte-dark-ruthenium-wj-grey-shaded-polarized","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
  
    
      <a href=""/collections/polaroid-sunglasses"">Polaroid Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> Polaroid 2100/S/X R80/WJ </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
  
    
      Polaroid Sunglasses
    
     >  
  
  
   Polaroid 2100/S/X R80/WJ 
"
"https://lookeronline.com/collections/marc-jacobs-sunglasses?page=7&sort_by=created-descending","200","OK","",""
"https://lookeronline.com/products/marc-jacobs-marc-495-s-j5g-marc-495-s-gold-dark-grey-shaded","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
    
  
  
    
      <a href=""/collections/marc-jacobs-sunglasses"">Marc Jacobs Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> Marc Jacobs 495/S J5G/9O </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
    
  
  
    
      Marc Jacobs Sunglasses
    
     >  
  
  
   Marc Jacobs 495/S J5G/9O 
"
"https://lookeronline.com/products/marc-jacobs-647-s-807-ir","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
    
  
  
    
      <a href=""/collections/marc-jacobs-sunglasses"">Marc Jacobs Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> Marc Jacobs 647/S 807/IR </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
    
  
  
    
      Marc Jacobs Sunglasses
    
     >  
  
  
   Marc Jacobs 647/S 807/IR 
"
"https://lookeronline.com/products/carrera-topcar-1-n-t4o-topcar-1-n-blackcrystal-blackwhite-red-9o-grey-shaded","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
  
    
      <a href=""/collections/carrera-sunglasses"">Carrera Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> Carrera TOPCAR 1/N T4O/9O </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
  
    
      Carrera Sunglasses
    
     >  
  
  
   Carrera TOPCAR 1/N T4O/9O 
"
"https://lookeronline.com/products/polaroid-6210-s-x-40g-m9","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
    
  
  
    
      <a href=""/collections/polaroid-sunglasses"">Polaroid Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> Polaroid 6210/S/X 40G/M9 </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
    
  
  
    
      Polaroid Sunglasses
    
     >  
  
  
   Polaroid 6210/S/X 40G/M9 
"
"https://lookeronline.com/products/carrera-1046-s-807-carrera-1046-s-black-ha-havana","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
  
    
      <a href=""/collections/carrera-sunglasses"">Carrera Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> Carrera 1046/S 807/HA </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
  
    
      Carrera Sunglasses
    
     >  
  
  
   Carrera 1046/S 807/HA 
"
"https://lookeronline.com/products/lookeronline-gift-card","200","OK","",""
"https://lookeronline.com/products/marc-jacobs-marc-469-s-rhl-marc-469-s-black-gold-grey-shaded-gold-mirror","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
  
    
      <a href=""/collections/marc-jacobs-sunglasses"">Marc Jacobs Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> Marc Jacobs 469/S RHL/FQ </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
  
    
      Marc Jacobs Sunglasses
    
     >  
  
  
   Marc Jacobs 469/S RHL/FQ 
"
"https://lookeronline.com/collections/david-beckham-sunglasses?page=6&sort_by=created-descending","200","OK","",""
"https://lookeronline.com/products/chiara-ferragni-7030-s-vk6-ir","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
    
  
  
    
      <a href=""/collections/chiara-ferragni-sunglasses"">Chiara Ferragni Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> Chiara Ferragni 7030/S VK6/IR </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
    
  
  
    
      Chiara Ferragni Sunglasses
    
     >  
  
  
   Chiara Ferragni 7030/S VK6/IR 
"
"https://lookeronline.com/products/david-beckham-db-7000-s-wr7-db-7000-s-black-havana-orange","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
  
    
      <a href=""/collections/david-beckham-sunglasses"">David Beckham Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> David Beckham 7000/S WR7/W7 </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
  
    
      David Beckham Sunglasses
    
     >  
  
  
   David Beckham 7000/S WR7/W7 
"
"https://lookeronline.com/products/marc-jacobs-mj-1052-s-807-mj-1052-s-black-grey","200","OK","
  <a href=""/"">LookerOnline</a>
  <span> > </span>
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      <!-- <a href=""/collections/sunglasses"">Sunglasses</a> 
      <span> > </span> -->
    
  
    
  
  
    
      <a href=""/collections/marc-jacobs-sunglasses"">Marc Jacobs Sunglasses</a>
    
    <span> > </span> 
  
  
  <span> Marc Jacobs 1052/S 807/IR </span>
","
  LookerOnline
   > 
  
    
  
    
  
    
  
    
  
    
  
    
  
    
  
    
      
    
  
    
  
  
    
      Marc Jacobs Sunglasses
    
     >  
  
  
   Marc Jacobs 1052/S 807/IR 
"
